video_id,title,ideology,topic,ideology_confidence,topic_confidence,reason,ideology_oldNO_Match,
Vd6VbgPfIEE,검사 출신 변호사가 느낀 성범죄 수사의 함정 폭로합니다 [무고사건 몰아보기],anti_feminism,sexual_violence,high,high,"The video discusses the dangers of false accusations in sexual crime cases, which aligns with anti-feminist narratives that often emphasize male victimization and skepticism towards women's claims.",anti_feminism,
GWTeST8OHkE,성인지감수성으로 성범죄 유죄판결하던 재판부가 달라진 이유는? [신법률 상식사전],feminism,sexual_violence,high,high,"The content discusses the reasons behind changes in court rulings related to sexual crimes, indicating a focus on gender sensitivity and victim rights, which aligns with feminist ideology.",feminism,
CF_-GTj6fTE,성범죄 신고 이 3가지 모르면 무고죄로 고소 당합니다.,anti_feminism,sexual_violence,medium,high,"The video discusses the legal implications of reporting sexual crimes and the potential for false accusations, which aligns with anti-feminist narratives that often emphasize male victimization in the context of sexual violence.",anti_feminism,
cFNPut1KHYI,"성추행 고소 당했을 때, '이렇게' 하면 법적 대응이 쉬워집니다. (#검사출신변호사)",anti_feminism,sexual_violence,medium,high,"The video discusses legal responses to false accusations of sexual harassment, which aligns with anti-feminist sentiments regarding perceived injustices against men in sexual violence cases.",anti_feminism,
8dczh8aJnYY,강제추행 실형 가능성 진단 : 구속 실형 피하는 죄질 판단 기준,anti_feminism,sexual_violence,high,high,"The video discusses legal strategies for individuals accused of sexual assault, focusing on minimizing consequences, which aligns with anti-feminist narratives that often emphasize male grievances in the context of sexual violence.",anti_feminism,
u7LaJN3EL4I,"성범죄 무고 이렇게 대처하세요! 실제 사례부터 특별한 무죄 전략까지 알려드립니다! | 성범죄, 무고죄, 성범죄대처, 법률조언, 변호사추천 | 법무법인DH | 정성원 변호사",anti_feminism,sexual_violence,high,high,"The video discusses strategies for dealing with false accusations in sexual violence cases, which aligns with anti-feminist narratives that often focus on male grievances regarding false allegations.",anti_feminism,
F6c_Aq-Npdg,"원나잇 5원칙, 이것만 지켜도 고소확률 97% 낮춥니다",anti_feminism,sexual_violence,high,high,"The video discusses strategies to avoid false accusations in the context of one-night stands, which aligns with anti-feminist narratives that often focus on male grievances regarding sexual violence allegations.",anti_feminism,
RcyfTndrlYY,실제 한일 커플이 말하는 국제 결혼의 현실,neutral,dating_marriage,high,high,The video discusses the realities of international marriage and dating without promoting or opposing any specific ideology.,neutral,
dRwB9eljD3w,결혼 후 돈 걱정 하기 싫으면 이런 여자랑 결혼하세요,anti_feminism,dating_marriage,high,high,"The title suggests a preference for traditional gender roles in marriage, implying that financial stability is linked to marrying a certain type of woman, which aligns with anti-feminist views on gender roles.",anti_feminism,
Riu6YgnKGo8,일본 여자들이 한국 남자한테 끌리는 진짜 이유,anti_feminism,dating_marriage,high,high,"The video discusses the reasons why Japanese women are attracted to Korean men, which aligns with traditional views on dating and marriage, often reflecting anti-feminist sentiments by emphasizing gender roles and preferences.",anti_feminism,
wLU44OSGqGI,일본 살면서 느낀 한국 보다 좋은 점들,neutral,other,high,high,The video discusses living in Japan and provides information about various aspects of Japanese society without engaging in gender-related discourse.,neutral,
8kynGHUAC_I,"""한일 커플이 대세"" 한국 남자와 결혼 후 일본 아내들이 가장 당황한 행동들 | 국경없는 수다 일본아내들 모아보기",neutral,dating_marriage,medium,high,"The video discusses cultural differences and experiences of Japanese women married to Korean men, which relates to dating and marriage but does not strongly advocate or oppose any ideological stance.",neutral,
HHWLMhSohuc,"""한국 여자는 답이 없어요"" 일본 여자들 줄줄이 한국행. 한국 남자 인기 폭발하는 이유 | 권민정 부대표 통합 1부",anti_feminism,dating_marriage,high,high,"The title suggests a negative view of Korean women and implies a preference for Japanese women, which aligns with anti-feminist sentiments. The focus on marriage and dating further categorizes it under dating_marriage.",anti_feminism,
0IQpJao9848,20대부터 40대 남자들이 어쩔수 없이 결혼을 미루는 이유...,anti_feminism,dating_marriage,high,high,"The video discusses reasons why men in their 20s to 40s are delaying marriage, which aligns with anti-feminist narratives that often critique modern dating and marriage pressures.",anti_feminism,
RxCKNFeGRoc,[팩 보고드림] 일본여성이 한국남자와 결혼하고 싶은 이유 feat 초식남 절식남,anti_feminism,dating_marriage,medium,high,"The video discusses Japanese women's desire to marry Korean men, focusing on idealized portrayals of masculinity in Korean dramas, which can reinforce traditional gender roles and expectations.",anti_feminism,
cVZDsscuJXE,이런분은 일본 여성이랑 결혼 못합니다... Top 5,anti_feminism,dating_marriage,high,high,"The video discusses characteristics that prevent individuals from marrying Japanese women, implying a negative view towards certain behaviors and attitudes, which aligns with anti-feminist sentiments regarding traditional gender roles in dating and marriage.",anti_feminism,
VEzRoKekNrI,비혼주의의 끝이 후회인 이유,anti_feminism,dating_marriage,high,high,"The title suggests a negative view of non-marriage (비혼주의), which aligns with anti-feminist sentiments that often criticize modern relationship choices. The description focuses on marriage and dating concerns, reinforcing traditional views on relationships.",anti_feminism,
kGX7zCPB_r4,30대 남자들이 결혼을 포기할 수 밖에 없는 이유,anti_feminism,dating_marriage,high,high,"The title and description suggest a focus on reasons why men in their 30s are opting out of marriage, which aligns with anti-feminist sentiments regarding traditional gender roles and marriage pressures.",anti_feminism,
y28QbaodQyw,요즘 한국 남자들은 왜 청혼을 안 하는 걸까,anti_feminism,dating_marriage,medium,high,"The video discusses the reluctance of Korean men to propose marriage, which aligns with traditional views on dating and marriage pressures, suggesting a critique of changing gender roles.",anti_feminism,
KCOyva7wgVs,"""한국 여자는 이제 '독점'을 잃었습니다"" A급 남자들이 일본으로 떠나는 이유",anti_feminism,dating_marriage,high,high,"The title and description suggest a focus on the perceived decline of South Korean women in the marriage market, contrasting them with Japanese women, which aligns with anti-feminist sentiments regarding traditional gender roles and marriage expectations.",anti_feminism,
flN8J8RZuug,"[통합본] ""남자들 다들 똑똑합니다"" 요즘 누가 한국 여자 만나요? 일본 여자만 찾는 한국 남자들 (결혼정보회사 부대표 권민정)",anti_feminism,dating_marriage,high,high,"The video discusses Korean men's preference for Japanese women over Korean women in the context of marriage, which aligns with anti-feminist sentiments regarding traditional gender roles and marriage expectations.",anti_feminism,
wQjXjfpw2nM,최근 급증하는 비혼 트렌드의 실체 9가지,anti_feminism,dating_marriage,medium,high,"The video discusses the trend of remaining unmarried, which relates to dating and marriage without a clear ideological stance.",neutral,No match
rBhMUZzd_rE,일본에서 지금 한일 국제결혼으로 난리 난 이유,anti_feminism,dating_marriage,high,high,"The video discusses international marriage between South Korean men and Japanese women, highlighting negative stereotypes about Korean men's behavior in relationships, which aligns with anti-feminist narratives that often criticize gender dynamics and promote traditional roles.",anti_feminism,
Kmtin-ozbBw,한국 여자한테 질린 남자의 국결 찬양현상! 남자가 혐오하는 한국 여자의 행동 특징,anti_feminism,dating_marriage,high,high,"The video discusses men's grievances towards Korean women's behaviors and promotes the idea of international marriage as a solution, reflecting anti-feminist sentiments.",anti_feminism,
rG5os0ktzeg,결혼할 때 확인 안 하면 무조건 이혼하는 것들,anti_feminism,dating_marriage,medium,high,"The video discusses issues related to marriage and relationships, suggesting a focus on traditional views that may align with anti-feminist sentiments.",anti_feminism,
CLQTff2Qvtw,일본 아내들이 한국 남자와 직접 살아보고 느낀 의외의 문화차이ㅣ국경없는 수다 EP.89,neutral,dating_marriage,medium,high,"The video discusses cultural differences in marriage between Korean men and Japanese women, focusing on their experiences and perspectives, which aligns with the topic of dating and marriage without a clear ideological stance.",neutral,
79uxxpPmLts,일본 여성이 결혼 제일 많이 하는 외국인은 한국 남성?... 일본 여성들이 한국 남성의 매력에 빠진 이유 [이게웬날리지],anti_feminism,dating_marriage,medium,high,"The video discusses the popularity of Korean men among Japanese women, which can imply a reinforcement of traditional gender roles and preferences in dating, aligning with anti-feminist sentiments.",anti_feminism,
6cKSXCIi1xM,알파메일처럼 행동하는 법  (약한 남자도 여자가 가치 높은 남자로 보게 하는 법),anti_feminism,dating_marriage,high,high,"The content promotes strategies for men to be perceived as valuable in dating, which aligns with traditional gender roles and may imply a critique of women's standards in relationships.",anti_feminism,
vFPd87EdGxA,"괜찮은 30대 남자, 알파메일 특징들",anti_feminism,dating_marriage,high,high,"The title and description suggest a focus on characteristics of desirable men, which aligns with traditional gender roles and may imply a critique of modern dating norms, indicating an anti-feminist stance.",anti_feminism,
8mz7clD_sLM,여자가 관심있는 남자에게 보내는 호감 신호 모음집,neutral,dating_marriage,high,high,"The video discusses signals of interest in dating without promoting or opposing any specific ideology, focusing on relationship advice.",neutral,
4Sj2DG3wNvs,무조건 잡아야 하는 상위 1% 남자 특징 모음집,anti_feminism,dating_marriage,high,high,"The video discusses characteristics of desirable men in the context of marriage and dating, which aligns with traditional gender roles and may reflect an anti-feminist perspective.",anti_feminism,
PnJrE6f7mxg,남자는 매력 있다고 생각하지만 여자는 극혐하는 남자 특징,anti_feminism,dating_marriage,high,high,"The title suggests a negative view of certain male traits that women dislike, indicating an anti-feminist perspective, while the content focuses on dating and marriage issues.",anti_feminism,
SEa-3AoIs8w,"나이, 외모가 평범해도 고스펙 남자와 결혼하는 여자 특징",anti_feminism,dating_marriage,high,high,"The video discusses characteristics of women who marry high-spec men, which aligns with traditional gender roles and may imply a critique of women's autonomy in choosing partners.",anti_feminism,
vRGU8oZm5AM,이런 마인드의 여자는 절대 결혼 못 합니다,anti_feminism,dating_marriage,high,high,"The title suggests a negative view towards women who hold certain mindsets regarding marriage, indicating an anti-feminist stance, while the content focuses on marriage and dating issues.",anti_feminism,
FOQDoa72Nic,"'나보다 레벨 높은 사람'을 꼬시려면, 무조건 이렇게 해야 합니다",neutral,dating_marriage,medium,high,The content focuses on dating advice and relationship strategies without a clear feminist or anti-feminist stance.,neutral,
qVC0RtJNSP8,40대 노처녀가 하는 답 없는 착각 10가지,anti_feminism,dating_marriage,high,high,"The title and description suggest a focus on misconceptions related to marriage and dating, which aligns with anti-feminist views that often criticize women's choices and societal expectations regarding marriage.",anti_feminism,
IEEsArxoSoo,정말 남자다운 남자들의 공통된 특징 3가지 / 힘세고 거칠면 그게 남자다운 걸까? (알파메일),anti_feminism,dating_marriage,medium,high,"The video discusses characteristics of 'manly men' and emphasizes traditional masculine traits, which aligns with anti-feminist views on gender roles, particularly in dating and relationships.",anti_feminism,
ijo_ACGCwo0,여자들이 환장하는 여유로운 남자가 되는 법!,neutral,dating_marriage,medium,high,"The content appears to focus on dating advice without a clear feminist or anti-feminist stance, making it neutral in ideology. The topic is clearly related to dating and relationships.",neutral,
Cr-4KwESJoo,얼굴은 예쁜데 남자들이 100일도 만나기 어려운 여자 특징 [모음집],anti_feminism,dating_marriage,high,high,"The video discusses characteristics of women that may hinder their dating prospects, which aligns with anti-feminist views on traditional gender roles and relationship dynamics.",anti_feminism,
KCc3vLhsfOo,여자들이 많이 놓치는 괜찮은 남자 특징 모음집,anti_feminism,dating_marriage,high,high,"The video discusses characteristics of men that women might overlook in the context of dating and marriage, which aligns with traditional views on gender roles and relationships, suggesting an anti-feminist stance.",anti_feminism,
6QeqLwOefiw,여자를 을로 만들어 버리는 알파남 특징. 여자의 밀당에 '이렇게'대처하면 역이용 가능합니다! 여자들의 이상형 진짜 의미는? 금사빠들의 특징 (차희연 대표 / 2부),anti_feminism,dating_marriage,high,high,"The content discusses characteristics of 'alpha males' and how women can be manipulated in relationships, which aligns with anti-feminist narratives about traditional gender roles and dating dynamics.",anti_feminism,
tkRUJodjLsY,남자에게 이런 말 하면 100% 손절당합니다,anti_feminism,dating_marriage,high,high,"The title suggests that certain statements can lead to rejection by men, indicating a focus on traditional gender roles and relationship dynamics, which aligns with anti-feminist views.",anti_feminism,
oO9bNvepZfU,설명이 필요없는 최악의 여자 특징 모음집,anti_feminism,dating_marriage,high,high,"The title and description suggest a focus on negative stereotypes about women in the context of dating and marriage, which aligns with anti-feminist views.",anti_feminism,
V4TSURKTRXU,남성들은 왜 알파메일에 집착하게 되었는가,anti_feminism,dating_marriage,high,high,"The title suggests a focus on men's obsession with alpha males, which aligns with anti-feminist narratives about traditional gender roles and male dominance in relationships.",anti_feminism,
nnf0YvdmAmw,반드시 걸러야 하는 남녀 취미 모음집,anti_feminism,dating_marriage,high,high,"The video discusses concerns related to marriage and dating, and the description suggests a focus on traditional views, which aligns with anti-feminist ideology.",anti_feminism,
aivgiHXmc_I,여자가 절대 못 헤어나오는 남자 특징 top3,anti_feminism,dating_marriage,high,high,"The video discusses characteristics of men that married women tend to encounter, which implies a focus on traditional gender roles and relationships, aligning with anti-feminist views.",anti_feminism,
QUNyw8Ca90E,[100분토론] 여자도 군대 가라고?!,neutral,electoral_generational_conflict,high,high,"The video discusses the debate around military service and the draft, which is a political and generational issue, without taking a clear ideological stance.",neutral,
04zCXTKuMMk,남자는 여성과의 술자리에서 이성적일 수 없다?! [신세계 4회],neutral,dating_marriage,medium,high,"The video discusses a scenario involving a husband and wife regarding a social situation with a female coworker, which relates to dating and marriage dynamics, but does not explicitly support or oppose any ideological stance.",neutral,
dj_QzDTRg5g,"여초 커뮤니티에 올라온 ""남자 범죄자 만들기""",anti_feminism,gender_conflict_discourse,high,high,"The title suggests a focus on creating narratives around male criminals, which aligns with anti-feminist sentiments and reflects a conflict in gender discourse.",anti_feminism,
08PlDdDmEDI,[100분토론] 대도서관 vs 엄마... 게임 무한 배틀,neutral,other,high,high,The video discusses gaming addiction and features a debate format without a clear stance on gender-related issues.,neutral,
oGeXDTgU1AM,“남자만 숙직? 얌체같아” vs “신체적 차이 고려해야”,neutral,gender_conflict_discourse,medium,high,"The discussion presents differing views on gender roles and discrimination, indicating a conflict in perspectives without a clear pro or anti-feminist stance.",neutral,
MFllCjqGHRo,"[뉴스 '꾹'] ""탱크보이도 못먹어?"" 폭발.. 너도나도 '스벅' 우르르 (2026.05.25/MBC뉴스)",neutral,other,high,high,The video appears to be a news segment discussing a current event without any clear stance on gender-related issues.,neutral,
LKJMwzcWctQ,[자막] 이스라엘 눈치 보며 핑계 대는 참모들에 폭발한 이재명 대통령,neutral,other,high,high,"The video discusses a political event involving the President's response to an international incident, which does not relate to gender-related discourse.",neutral,
Jk0n1Bn9R8M,"전국의 모든 고시생들을 오열하게 만든, 너무 현실적이여서 소름돋는 영화 [400만뷰]",neutral,other,high,high,The video discusses a movie review that is not related to gender discourse or any specific gender-related ideology.,neutral,
XCpZ-6_8zDQ,앵그리 동훈의 공적 분노😳 [SNL 코리아] 시즌 8 ‘나는 후보’ 하이라이트,neutral,other,high,high,The video appears to be a highlight reel from a comedy show without any specific focus on gender-related discourse.,neutral,
epQGMKTicN4,"""와인에 오렌지주스 섞었어""..'사귄지 1년' 지옥의 시작 [뉴스.zip/MBC뉴스]",feminism,sexual_violence,high,high,"The video discusses issues related to drug use and sexual crimes, which aligns with feminist discourse on sexual violence and victimization.",feminism,
Tslysu_mtyc,보이스피싱 알아보기,neutral,other,high,high,"The video discusses voice phishing, which is unrelated to gender-related discourse.",neutral,
cL1EsgFqVLU,"[신통방통] 김용남, 차명으로 대부업체 운영 정황···동생은 녹취록서 ""남의 명의 이용해서 짜증 나""",neutral,electoral_generational_conflict,high,high,The video discusses political allegations against a candidate without expressing a clear ideological stance on gender issues.,neutral,
kWP6Ij1U2Sg,키우는 건 왕 어려움 | 견종백과 코카시안 오브차카편,neutral,other,high,high,"The video discusses the characteristics and care of a specific dog breed, which is unrelated to gender-related discourse.",neutral,
XAdR1PaPzqQ,샘 올트먼과 일론 머스크는 왜 소송까지 갔나 / 오그랲 / 비디오머그,neutral,other,high,high,"The video discusses a legal dispute between Sam Altman and Elon Musk regarding OpenAI, which is unrelated to gender-related discourse.",neutral,
FdKtvmTBAXc,우리나라에서는 이해할 수 없는 북한의 실상 무료강의 [메기스터디 35강],neutral,other,high,high,"The video discusses the realities of North Korea and marriage from the perspective of a defector, which does not engage in gender-related discourse or express a clear ideological stance.",neutral,
yHzJpEdZmr8,유치원 교사 이민지 씨의 휴일 [휴먼다큐 진짜 극한직업](20260519 방송),neutral,other,high,high,The video focuses on the daily life of a kindergarten teacher without engaging in gender-related discourse or ideological positions.,neutral,
SxYEtMjZWcs,휴일 긴급보도! 靑 발칵! 왜? [배승희 뉴스배송 장예찬 출연],neutral,electoral_generational_conflict,high,high,"The video discusses a news event related to political matters without a clear stance on gender issues, fitting the neutral ideology and focusing on electoral and generational conflict.",neutral,
MW_kYAFav-c,[무한도전] 야 이거..우리 엄마 만났나? 족집게세요? Σ(꒪ȏ꒪) 소름돋게 정.확.한 정신감정 특집 📝,neutral,other,high,high,The video appears to be a light-hearted entertainment segment focused on a mental analysis test without any clear gender-related discourse.,neutral,
clvneMg9SR0,"[2月의 무도] 무전유죄! 유죄무전(?)! 진실은 승리한다!! ""죄와 길"" 1편  infinite challenge",neutral,other,high,high,"The video discusses a comedic court case involving characters from a variety show, which does not relate to gender-related discourse.",neutral,
LLHJf9nx6Yg,이렇게 죽을 줄 몰랐다｜느긋하게 꿀벌 먹던 장수말벌 5초 뒤 결말｜양봉｜다큐프라임｜#골라듄다큐,neutral,other,high,high,"The video discusses the life cycles of bees and wasps, which is unrelated to gender-related discourse.",neutral,
3jNmX2gtuKA,갈데까지 가버린 스튜디오 뿌리 사태 최신 근황 & 짤 레전드 모음 ㅋㅋㅋㅋㅋㅋ,neutral,other,high,high,The video discusses a specific incident related to a magic show and does not engage in gender-related discourse.,neutral,
4m00WPCvRZw,게임에 묻은 페미 🤏 페미에 묻힌 게임  [넥슨 - 스튜디오 뿌리 사태],feminism,gender_conflict_discourse,high,high,"The title and description explicitly state opposition to gender discrimination, indicating a feminist stance, and the content relates to gender conflict in the gaming industry.",feminism,
PJ6EJPBX-R4,[게임계 남혐손 사태] 넥슨노조가 당하고 있는 여혐몰이,anti_feminism,gender_conflict_discourse,high,high,"The video discusses a situation involving accusations of misogyny against a labor union, indicating a conflict related to gender issues, which aligns with anti-feminist sentiments.",anti_feminism,
c5T7xjhcW1k,트위치 한국 철수.. 망 사용료를 원흉으로 지목했다? 그동안의 소식 정리해봤습니다.,neutral,other,high,high,"The video discusses Twitch's withdrawal from the Korean market and related news, which is not directly related to gender discourse.",neutral,
zH-CdfAQUFU,일주일만에 섭종을 왜 한지 알겠네 ㅋㅋ [클로저스 rt 리뷰],neutral,other,high,high,The video discusses a game review and does not engage in gender-related discourse.,neutral,
dJUW2xWrjkY,자갈치가 맵다고요..? 한국인도 몰랐던 봉지과자 특🥄ㅣ돈슐랭 / 14F,neutral,other,high,high,The content is about snacks and does not engage in gender-related discourse.,neutral,
MUH8szIcXQo,'외모가 제일 중요하다' 죽음의 열매를 파는 대만 여성들 '빈랑서시',neutral,other,medium,medium,"The video discusses a topic related to Taiwanese women and their focus on appearance, but it does not clearly align with feminist or anti-feminist ideologies, making it neutral. The topic does not fit into the specified gender-related categories.",neutral,
riPhavChrVM,넥슨과 한국 게임 업계에 퍼진 '스튜디오 뿌리 사태'에 대해 알아보자 ㄷㄷㄷㄷㄷ,neutral,other,high,high,The video discusses a situation in the gaming industry that does not directly relate to gender-related discourse.,neutral,
hCvz-srP6bE,게이머는 개돼지다,neutral,other,high,high,The title and description do not indicate any gender-related discourse or ideology; they focus on gaming and channel statistics.,neutral,
oO3uVjs_1gg,NC의 신작 게임이 '개고기 탕후루' 라고 욕을 먹는 이유 [쓰론앤리버티(TL) 리뷰],neutral,other,high,high,The video discusses a game review without any gender-related discourse or ideological stance.,neutral,
